13;Teatro;02/11/2018;02/11/2018;12;Espanyol;Santurtzi
1984;Proyeccion audiovisual;11/04/2018;11/04/2018;Gratis;Espanyol;Vitoria-Gasteiz
2062;Proyeccion audiovisual;24/02/2018;24/02/2018;35;Espanyol;Donostia / San Sebastian
07-jul;Exposicion;21/09/2018;14/10/2018;15;Espanyol;Eibar
!Ay, Carmela;Teatro;06/10/2018;06/10/2018;9;Espanyol;Donostia / San Sebastian
!Que brisa, la risa!;Actividad infantil;04/11/2018;04/11/2018;10;Espanyol;Lodosa
#acustiCBAs: Peppermint Quartet;Concierto;26/07/2018;26/07/2018;20;Espanyol;Irun
#BilbaoGabonak 2018;otros;28/11/2018;06/01/2019;10;Espanyol;Bilbao
#dotorejantzi: Harrotasunez, ez harrokeriaz;otros;02/12/2018;02/12/2018;10;Espanyol;Donostia / San Sebastian
#FemRIGHTS Derechos Humanos y Creacion Artistica;Exposicion;28/11/2018;13/01/2019;10;Espanyol;Vitoria-Gasteiz
#FemRIGHTS, exposicion de UNESCo Etxea e Irantzu Lekue;Exposicion;28/11/2018;14/01/2019;Gratis;Euskera;Vitoria-Gasteiz
#GazteKluba Gabonak 2018-2019;otros;23/12/2018;23/12/2018;10;Espanyol;Bilbao
#GazteKLUBA MUSIKFEST;Concurso;23/02/2018;19/03/2018;35;Espanyol;Bilbao
#Handia13... argiak, kamara eta akzioa!;Exposicion;22/03/2018;31/08/2018;34;Euskera / Espanyol;Ezkio-Itsaso
#Handiaren Lagunak Challenge;Concurso;13/04/2018;31/08/2018;Gratis;Euskera / Espanyol;Ezkio-Itsaso
#IceAgeEuropeanNow, exposicion sobre descubrimientos de la Edad de Hielo;Exposicion;24/03/2018;10/06/2018;18;Espanyol;Donostia / San Sebastian
#Muestrate SWH, exposicion de Global Art;Exposicion;13/04/2018;27/04/2018;18;Espanyol;Bilbao
#Nodos. Enredando Ciencias y Humanidades;Conferencia;14/03/2018;14/03/2018;Gratis;Espanyol;Donostia / San Sebastian
(B)aso;Danza;28/09/2018;28/09/2018;Gratis;Espanyol;Errenteria
(B)aso;Danza;29/09/2018;29/09/2018;Gratis;Espanyol;Bayonne
(H)emen International Audiovisual Training;Curso-taller;30/05/2018;01/06/2018;27;Euskera / Espanyol;Donostia / San Sebastian
(H)ik dantza, LANDU. Formacion permanente para bailarines - Abhilash Ningappa (India) ? Embodying critical situations;Curso-taller;24/09/2018;28/09/2018;9;Espanyol;Errenteria
(H)ik dantza, LANDU. Formacion permanente para bailarines - Laura Vilar (Katalunia) ? Desplegant possibilitats;Curso-taller;10/12/2018;14/12/2018;50;Espanyol;Errenteria
(H)ik dantza, LANDU. Formacion permanente para bailarines - Miquel Barcelona (Katalunia) ? Estats de creacio;Curso-taller;22/10/2018;26/10/2018;50;Espanyol;Errenteria
(H)ilbeltza 2018 - Semana de la Novela Negra en Euskera en Baztan;Festivales (Gazteinformazioa);15/01/2018;21/01/2018;Gratis;Euskera;Baztan
... Eran casi las dos;Danza;15/12/2018;15/12/2018;12;Espanyol;Baranyain/Baranyain
... y las cosas que hacemos;Exposicion;31/05/2018;16/09/2018;Gratis;Espanyol;Bilbao
... y las cosas que hacemos, exposicion colectiva (Prototipoak);Exposicion;31/05/2018;16/09/2018;27;Espanyol;Bilbao
...Eran casi  las dos;Danza;24/02/2018;25/02/2018;22;Espanyol;Bilbao
Ahora nos movemos (o bailamos) todos?;Danza;23/06/2018;23/06/2018;Gratis;Euskera;Bilbao
El gran mercado;Teatro;22/11/2018;22/11/2018;Gratis;Espanyol;Vitoria-Gasteiz
Frontoia begiz eta hotsez;Teatro;18/10/2018;18/10/2018;Gratis;Euskera;Vitoria-Gasteiz
Irati Anda Solay, exposicion de pintura de Irati Anda;Exposicion;23/10/2018;16/11/2018;15;Espanyol;Vitoria-Gasteiz
La magia de la India;Actividad infantil;24/11/2018;24/11/2018;34;Espanyol;Pamplona/Irunya
Whole Lotta Band, Led Zeppelin Live Experience?;Concierto;09/11/2018;09/11/2018;22;Ingles;Pamplona/Irunya
¡Ay! ¡Ya!;Teatro;25/10/2018;25/10/2018;12;Espanyol;Bilbao
¡Ay! ¡Ya!;Teatro;09/11/2018;11/11/2018;14;Espanyol;Pamplona/Irunya
¡Ay, Carmela!;Teatro;28/09/2018;30/09/2018;15;Espanyol;Bilbao
¡Dejadme sola!;Teatro;21/04/2018;21/04/2018;18;Espanyol;Agurain/Salvatierra
¡Fuera!;Teatro;18/05/2018;19/05/2018;27;Espanyol;Leioa
¡Hay que salvar a mama!;Actividad infantil;05/05/2018;05/05/2018;34;Espanyol;Pamplona/Irunya
¡Hay que salvar a mama!;Actividad infantil;11/03/2018;11/03/2018;40;Espanyol;Baranyain/Baranyain
¡Hoy, milagro!;Teatro;19/05/2018;19/05/2018;34;Espanyol;Erandio
¡Hoy, milagro!;Teatro;27/09/2018;27/09/2018;Gratis;Espanyol;Bilbao
¡Hoy, milagro!;Teatro;19/09/2018;19/09/2018;Gratis;Espanyol;Bilbao
¡Marx lo hizo!;Teatro;13/05/2018;13/05/2018;12;Espanyol;Bilbao
¡Mujeres en pie de guerra!;Proyeccion audiovisual;25/10/2018;25/10/2018;Gratis;Espanyol;Bilbao
¡No fue casualidad!;Exposicion;01/06/2018;29/06/2018;Gratis;Espanyol;Arrasate/Mondragon
¡Nunca mas! Imagenes de guerra 1936-1939;Exposicion;19/09/2018;07/10/2018;15;Espanyol;Sondika
¡Patrimonio en un click!;Exposicion;01/01/2018;31/03/2018;35;Espanyol;Bilbao
¡Que me van a hablar de amor!;Danza;09/02/2018;09/02/2018;22;Espanyol;Barakaldo
