bookid;name;author;genre;lang;rating1;rating2;rating3;rating4;rating5
1;Harry Potter and the Half-Blood Prince (Harry Potter #6);J.K. Rowling;Fantasy;English;7740;22286;142044;482911;1254350
2;Harry Potter and the Order of the Phoenix (Harry Potter #5);J.K. Rowling;Fantasy;English;9941;32707;187325;520178;1208402
3;Harry Potter and the Sorcerer's Stone (Harry Potter #1);J.K. Rowling;Fantasy;English;83987;109520;486359;1253715;3359941
4;Harry Potter and the Chamber of Secrets (Harry Potter #2);J.K. Rowling;Young Adult;English;8835;43821;253551;586774;1169013
5;Harry Potter and the Prisoner of Azkaban (Harry Potter #3);J.K. Rowling;Fantasy;English;7181;21277;172691;537789;1376715
6;Harry Potter and the Goblet of Fire (Harry Potter #4);J.K. Rowling;Fantasy;English;7005;20965;157668;520026;1285183
10;Harry Potter Collection (Harry Potter #1-6);J.K. Rowling;Fantasy;English;222;194;995;4058;22373
11;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1);Douglas Adams;Science Fiction;English;23352;44894;155949;324000;544219
12;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy #1-5 & short story);Douglas Adams;Science Fiction;English;2741;6540;27303;69028;142112
13;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1-5 & short story);Douglas Adams;Science Fiction;English;2741;6540;27303;69028;142112
21;A Short History of Nearly Everything;Bill Bryson;History;English;3873;7690;31813;76927;102129
30;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings (The Lord of the Rings 0-3);J.R.R. Tolkien;Fantasy;English;843;1364;6013;20718;69035
33;The Lord of the Rings (The Lord of the Rings #1-3);J.R.R. Tolkien;Adventure;English;4961;9960;39163;112198;296060
34;The Fellowship of the Ring (The Lord of the Rings #1);J.R.R. Tolkien;Classics;English;40087;58642;212404;521958;1116227
40;Cooking with Fernet Branca (Gerald Samper  #1);James Hamilton-Paterson;Fiction;English;62;132;348;460;297
45;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas;Science;English;11;86;429;729;451
48;The Bucaneers;Edith Wharton;Classics;English;56;224;1281;2013;1361
50;Hatchet (Brian's Saga #1);Gary Paulsen;Young Adult;English;12765;23655;62819;78388;70698
61;The Changeling;Zilpha Keatley Snyder;Fiction;English;14;48;229;426;570
93;Heidi (Heidi #1-2);Johanna Spyri;Classics;English;2254;8505;38042;52231;57652
103;God Emperor of Dune (Dune #4);Frank Herbert;Science Fiction;English;1112;4473;14366;17934;16766
104;Dune (Dune #1);Frank Herbert;Science Fiction;English;13799;23794;78177;164964;280653
105;Chapterhouse: Dune (Dune #6);Frank Herbert;Science Fiction;English;706;2715;9594;13208;12948
106;Dune Messiah (Dune #2);Frank Herbert;Fiction;English;1088;5675;25150;38907;26328
112;Children of Dune (Dune #3);Frank Herbert;Science Fiction;English;900;4601;21241;32686;25256
117;Heretics of Dune (Dune #5);Frank Herbert;Science Fiction;English;736;3159;12217;16073;13488
122;The Power of One (The Power of One #1);Bryce Courtenay;Fiction;English;781;1748;7272;20013;35484
151;Anna Karenina;Leo Tolstoy;Classics;English;12628;28689;93987;169791;204259
155;Anna Karenina;Leo Tolstoy;Classics;English;12628;28690;93992;169794;204264
274;The Portrait of a Lady;Henry James;Classics;English;2029;5109;16034;21303;17765
286;The Prophet;Kahlil Gibran;Poetry;English;2987;7030;26230;50704;89410
295;Treasure Island;Robert Louis Stevenson;Classics;English;5928;20500;91820;122996;91743
304;Daniel Deronda;George Eliot;Classics;English;584;1442;4953;7226;6040
320;One Hundred Years of Solitude;Gabriel GarcÃ­a MÃ¡rquez;Magical Realism;English;28269;39310;92048;164379;284185
343;Perfume: The Story of a Murderer;Patrick SÃ¼skind;Mystery;English;6124;13864;45369;86444;93300
350;Stranger in a Strange Land;Robert A. Heinlein;Science Fiction;English;10720;16956;47379;73339;91870
360;Mostly Harmless (Hitchhiker's Guide to the Galaxy #5);Douglas Adams;Science Fiction;English;920;4951;21208;30715;30974
361;Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3);Douglas Adams;Science Fiction;English;749;4178;27682;57663;69920
378;The Phantom Tollbooth;Norton Juster;Fantasy;English;3343;7694;29816;60112;98694
478;Bowling Alone: The Collapse and Revival of American Community;Robert D. Putnam;Nonfiction;English;78;292;1221;1738;1010
493;My Inventions;Nikola Tesla;Nonfiction;English;46;171;741;1234;1274
553;Storage (Chic Simple) (Chic Simple Components);Jennifer Lisle;Unknown;English;0;3;1;2;0
563;CSS Mastery: Advanced Web Standards Solutions;Andy Budd;Design;English;5;43;177;396;403
647;No Logo;Naomi Klein;Nonfiction;English;468;1373;5186;8719;6385
655;The Death of Ivan Ilych And Other Stories;Leo Tolstoy;Fiction;English;86;320;1887;4030;3697
656;War and Peace;Leo Tolstoy;Classics;English;5657;10533;34481;65418;95454
662;Atlas Shrugged;Ayn Rand;Fiction;English;32428;28816;56386;82748;111661
668;We the Living;Ayn Rand;Classics;English;673;1586;5293;7981;7995
685;The Natural;Bernard Malamud;Fiction;English;314;848;2504;3227;1872
771;The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory;Brian Greene;Science;English;1699;3035;13161;28442;29084
776;Buddhism Plain and Simple;Steve Hagen;Religion;English;40;221;1056;1990;2167
792;London: City Guide (Lonely Planet City Guide);Lonely Planet;Travel;English;6;15;117;244;170
816;Cryptonomicon;Neal Stephenson;Fiction;English;1317;3146;11065;27763;42487
823;Quicksilver (The Baroque Cycle #1);Neal Stephenson;Fiction;English;1036;2363;6093;11115;11417
828;Interface;Neal Stephenson;Science Fiction;English;52;341;1684;1908;866
830;Snow Crash;Neal Stephenson;Science Fiction;English;8179;10711;31465;65037;82856
835;Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play (Harrington on Hold 'em #1);Dan Harrington;Nonfiction;English;6;26;317;690;806
840;The Design of Everyday Things;Donald A. Norman;Design;English;107;557;2661;6883;7358
856;The Trust: The Private and Powerful Family Behind The New York Times;Susan E. Tifft;Writing;English;2;5;32;64;38
857;Web Standards Solutions: The Markup and Style Handbook (Pioneering Series);Dan Cederholm;Design;English;3;6;65;134;113
865;The Alchemist;Paulo Coelho;Fiction;English;81072;133851;315380;454676;566425
874;The Kite Runner;Khaled Hosseini;Fiction;English;35772;62518;236295;663654;1003438
890;Of Mice and Men;John Steinbeck;Fiction;English;48631;115767;372919;563918;506443
901;Ender's Game (Ender's Saga #1);Orson Scott Card;Science Fiction;English;16076;29132;109695;281097;493855
903;The Egypt Game (Game #1);Zilpha Keatley Snyder;Fiction;English;852;2153;7521;10137;8825
905;The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance;W. Timothy Gallwey;Nonfiction;English;47;152;742;1873;2457
912;Rich Dad, Poor Dad (Rich Dad #1);Robert T. Kiyosaki;Business;English;6250;13038;41137;68604;82544
930;Memoirs of a Geisha;Arthur Golden;Fiction;English;24305;60787;267714;540045;592843
960;Angels & Demons (Robert Langdon #1);Dan Brown;Mystery;English;82061;152365;482347;761977;739133
968;The Da Vinci Code (Robert Langdon #2);Dan Brown;Mystery;English;72538;129260;351578;563254;507914
975;Deception Point;Dan Brown;Fiction;English;15050;46717;150282;171234;126153
1004;Think and Grow Rich;Napoleon Hill;Self Help;English;3007;5967;19916;36527;63356
1014;Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series);Mike   Mason;Computer Science;English;6;23;66;82;34
1067;1776;David McCullough;History;English;3819;6230;25612;56932;58591
1078;The Good Earth (House of Earth #1);Pearl S. Buck;Classics;English;5397;11828;39689;69649;74127
1111;The Power Broker: Robert Moses and the Fall of New York;Robert A. Caro;History;English;136;182;730;1926;5764
1202;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1);Steven D. Levitt;Economics;English;14864;27258;119176;223851;183585
1226;Life of Pi;Yann Martel;Fantasy;English;40471;75951;224676;395964;372050
1232;The Shadow of the Wind (El cementerio de los libros olvidados #1);Carlos Ruiz ZafÃ³n;Fiction;English;5125;12574;45227;109736;172276
1295;The Clan of the Cave Bear (Earth's Children #1);Jean M. Auel;Historical;English;4064;10381;38331;66242;75797
1301;Moneyball: The Art of Winning an Unfair Game;Michael   Lewis;Nonfiction;English;843;1668;9524;29370;34476
1306;Gates Of Fire;Steven Pressfield;Fiction;English;169;452;2331;6743;12893
1316;The Virtues of War: A Novel of Alexander the Great;Steven Pressfield;Historical;English;51;173;967;1703;1256
1319;The War of Art: Break Through the Blocks & Win Your Inner Creative Battles;Steven Pressfield;Language;English;1458;2773;7760;14083;19345
1362;The Histories;Herodotus;History;English;952;1855;7138;11143;12785
1376;The Iliad;Homer;Classics;English;8361;22240;73212;96133;94714
1381;The Odyssey;Homer;Classics;English;30742;67799;190172;235514;221136
1384;The Odyssey;Homer;Classics;English;30738;67795;190163;235495;221121
1420;Hamlet;William Shakespeare;Classics;English;10952;34067;126543;203659;232581
1540;The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays #1â€“3);Sophocles;Classics;English;726;2848;12260;18387;18160
1591;Lysistrata;Aristophanes;Plays;English;670;2088;7799;10725;9346
1617;Night (The Night Trilogy #1);Elie Wiesel;Nonfiction;English;8922;20174;96675;248016;400265
1622;A Midsummer Night's Dream;William Shakespeare;Drama;English;6144;21814;89024;137776;128706
1624;West with the Night;Beryl Markham;Nonfiction;English;280;793;3854;8297;10669
1633;Getting Things Done: The Art of Stress-Free Productivity;David    Allen;Nonfiction;English;2421;4903;18455;31821;34425
1843;Caught Inside: A Surfer's Year on the California Coast Duane, Daniel ( Author ) Apr-10-1997 Paperback;Daniel Duane;Nonfiction;English;11;42;123;225;167
1852;The Call of the Wild;Jack London;Classics;English;6700;17507;66354;96488;78417
1885;Pride and Prejudice;Jane Austen;Fiction;English;58625;91668;301635;649392;1242393
1893;Pride and Prejudice;Jane Austen;Fiction;English;58625;91670;301634;649394;1242397
1898;Into Thin Air: A Personal Account of the Mount Everest Disaster;Jon Krakauer;Nonfiction;English;8092;10465;47189;117217;131183
1934;Little Women (Little Women #1);Louisa May Alcott;Classics;English;33067;72767;261434;448425;570487
1935;Little Women (Little Women #1);Louisa May Alcott;Classics;English;33068;72769;261436;448434;570508
1953;A Tale of Two Cities;Charles Dickens;Fiction;English;29725;57186;158333;225562;234559
2052;The Big Sleep (Philip Marlowe #1);Raymond Chandler;Mystery;English;1738;4468;18717;37257;35422
2054;The Long Goodbye (Philip Marlowe #6);Raymond Chandler;Mystery;English;134;565;3992;10468;11462
2122;The Fountainhead;Ayn Rand;Fiction;English;18835;19437;45847;79604;102452
2131;The Hours;Michael Cunningham;Fiction;English;2642;7149;24498;40111;37716
2140;Blink: The Power of Thinking Without Thinking;Malcolm Gladwell;Nonfiction;English;7590;21489;91043;150602;118912
2175;Madame Bovary;Gustave Flaubert;Classics;English;8147;19983;55481;67443;50205
2183;Sentimental Education;Gustave Flaubert;Fiction;English;428;1192;3476;5047;4644
2187;Middlesex;Jeffrey Eugenides;Fiction;English;19772;31284;92468;177597;206627
2203;John Adams;David McCullough;History;English;12874;11714;33673;76311;108856
2253;Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day;Stephen R. Covey;Nonfiction;English;10;19;73;99;110
2255;Way of the Peaceful Warrior: A Book That Changes Lives;Dan Millman;Spirituality;English;787;1853;6435;12126;17698
2256;Sacred Journey of the Peaceful Warrior;Dan Millman;Spirituality;English;75;284;1324;2348;3140
2262;No Ordinary Moments: A Peaceful Warrior's Guide to Daily Life;Dan Millman;Spirituality;English;18;51;298;470;565
2265;It's Not about the Bike: My Journey Back to Life;Lance Armstrong;Sports;English;1310;2457;9482;13488;8370
2443;The Innocents Abroad;Mark Twain;Travel;English;180;597;2340;3710;2728
2493;The Time Machine;H.G. Wells;Classics;English;3893;17180;87375;127496;92076
2512;Stover at Yale;Owen Johnson;Fiction;English;0;6;19;14;13
2519;The Name of the Rose (Everyman's Library (Cloth));Umberto Eco;Fiction;English;4921;10625;38528;84321;102014
2529;The Tale of the Unknown Island;JosÃ© Saramago;Fiction;English;60;348;1618;2460;1798
2530;Baltasar and Blimunda;JosÃ© Saramago;Fiction;English;312;865;2718;4674;4174
2552;On the Road (Duluoz Legend);Jack Kerouac;Classics;English;14671;32982;74025;93021;77927
2574;The Long Tail: Why the Future of Business Is Selling Less of More;Chris Anderson;Business;English;959;1698;5900;9308;7261
2590;The Art of War by Sun Tzu;Sun Tzu;Nonfiction;English;3407;13017;54151;79946;81223
2601;Marketing Warfare;Al Ries;Business;English;10;41;171;400;392
2603;How to Cook Everything: The Basics: Simple Recipes Anyone Can Cook (How to Cook Everything);Mark Bittman;Food and Drink;English;8;37;153;379;572
2612;The Tipping Point: How Little Things Can Make a Big Difference;Malcolm Gladwell;Nonfiction;English;16476;27800;114038;205475;183162
2615;The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business;Clayton M. Christensen;Business;English;1114;1587;5011;9591;10937
2618;The Innovator's Solution: Creating and Sustaining Successful Growth;Clayton M. Christensen;Business;English;165;423;1427;2477;2925
2623;Great Expectations;Charles Dickens;Classics;English;24217;46739;127541;181981;161182
2655;To Kill a Mockingbird (To Kill a Mockingbird #1);Harper Lee;Classics;English;63654;123576;470928;1066381;1838482
2657;To Kill a Mockingbird (To Kill a Mockingbird #1);Harper Lee;Classics;English;63647;123558;470890;1066273;1838277
2666;The Bonfire of the Vanities;Tom Wolfe;Fiction;English;1442;4106;14078;22471;16288
2674;The Wealthy Barber: The Common Sense Guide to Successful Financial Planning;David Chilton;Economics;English;99;323;1431;2296;2375
2696;The Canterbury Tales;Geoffrey Chaucer;Classics;English;7025;20182;54674;50716;31749
2735;Snow Falling On Cedars;David Guterson;Fiction;English;2639;9430;37821;57808;37366
2748;Microserfs;Douglas Coupland;Fiction;English;296;1340;5396;8482;6314
2802;E=mcÂ²: A Biography of the World's Most Famous Equation;David Bodanis;Science;English;89;234;1240;2379;2499
2804;Passionate Minds;David Bodanis;History;English;11;35;140;322;294
2834;The Tragedy of Pudd'nhead Wilson/Those Extraordinary Twins;Mark Twain;Classics;English;66;236;1085;1625;1538
2836;Bridge to Terabithia;Katherine Paterson;Favorites;English;8893;21019;77770;125767;139726
2865;Girl with a Pearl Earring;Tracy Chevalier;Historical;English;13246;30334;130396;201866;155732
2932;Robinson Crusoe (Robinson Crusoe #1);Daniel Defoe;Classics;English;6864;19245;61678;71332;49964
2956;The Adventures of Huckleberry Finn (The Adventures of Tom and Huck #2);Mark Twain;Historical;English;29455;79025;264483;358096;310110
2974;A Tramp Abroad;Mark Twain;Travel;English;19;140;477;789;537
2998;The Secret Garden;Frances Hodgson Burnett;Classics;English;8972;26943;136576;258561;307138
3008;A Little Princess;Frances Hodgson Burnett;Classics;English;3268;7039;38202;78849;107180
3049;Sir Gawain and the Green Knight;Unknown;Classics;English;771;3775;14359;15776;10109
3068;The Assistant;Bernard Malamud;Fiction;English;143;477;2013;3271;2374
3077;The Enchanted April;Elizabeth von Arnim;Romance;English;172;582;2592;4634;3863
3087;A Room with a View;E.M. Forster;Classics;English;2215;7564;30006;47261;39698
3102;Howards End;E.M. Forster;Classics;English;1065;3262;13900;23714;20831
3107;The Sixteen Pleasures;Robert Hellenga;Fiction;English;77;290;826;966;511
3109;The Omnivore's Dilemma: A Natural History of Four Meals;Michael Pollan;Nonfiction;English;1668;4696;23002;60972;64561
3110;Assassination Vacation;Sarah Vowell;Nonfiction;English;577;1621;7171;14790;11340
3143;Drina Dances in Exile (Drina #3);Jean Estoril;Childrens;English;1;9;63;92;116
3146;Drina Dances in Italy (Drina #4);Jean Estoril;Childrens;English;1;7;57;78;96
3150;Drina Dances Again (Drina #5);Jean Estoril;Unknown;English;1;10;59;76;100
3151;Drina Dances In New York (Drina #6);Jean Estoril;Young Adult;English;1;4;39;52;70
3156;Drina Dances in Madeira (Drina #8);Jean Estoril;Unknown;English;1;4;41;41;59
3326;Drina Ballerina (Drina #11);Jean Estoril;Unknown;English;0;7;28;44;63
3331;Drina Goes on Tour (Drina #10);Jean Estoril;Childrens;English;1;3;23;40;57
3353;Crystal Clear: A Human-Powered Methodology for Small Teams (The Agile Software Development Series);Alistair Cockburn;Business;English;1;7;24;38;35
3359;Angle of Repose;Wallace Stegner;Fiction;English;664;1635;5598;13681;23006
3368;Don't Make Me Think: A Common Sense Approach to Web Usability;Steve Krug;Nonfiction;English;69;339;2310;6463;7099
3388;Corelli's Mandolin;Louis de BerniÃ¨res;War;English;1776;4129;13567;24554;24095
3394;The War of Don Emmanuel's Nether Parts (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English;82;214;872;2041;1811
3396;Red Dog;Louis de BerniÃ¨res;Fiction;English;34;217;794;1068;667
3398;SeÃ±or Vivo and the Coca Lord (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English;34;115;648;1396;1333
3399;Birds Without Wings;Louis de BerniÃ¨res;Historical;English;136;395;1501;3362;4313
3400;The Troublesome Offspring of Cardinal GuzmÃ¡n (Latin American Trilogy);Louis de BerniÃ¨res;Fiction;English;25;90;473;1210;1037
3402;Kiffe Kiffe Tomorrow;FaÃ¯za GuÃ¨ne;Fiction;English;49;271;681;537;225
